bench,alloc_type,total,bit_pos,p_one,entropy
cam4,32bits,115718790,49,0.40910115807467395,0.9760260851598862
cam4,32bits,115718790,50,0.38149676470001115,0.9590922846578196
cam4,32bits,115718790,51,0.3731351580845254,0.9530489681739887
cam4,32bits,115718790,52,0.3594588571138706,0.942233083049824
cam4,32bits,115718790,53,0.44334964961178736,0.9907201124574556
cam4,32bits,115718790,54,0.42845266529316456,0.9851788032737996
cam4,32bits,115718790,55,0.4068935909198497,0.9748405230745032
cam4,32bits,115718790,56,0.2729567168823663,0.8456754172817977
cam4,32bits,115718790,57,0.23589640023024783,0.7881492780331091
cam4,32bits,115718790,58,0.24231579849737453,0.7988702086286331
cam4,32bits,115718790,59,0.25308257198333994,0.8161274279807219
cam4,32bits,115718790,60,0.26396592117840156,0.8326722248850187
